iter	Passed	Remaining
782	3721	1031
783	3726	1026
784	3731	1021
785	3735	1017
786	3740	1012
787	3745	1007
788	3749	1002
789	3754	998
790	3759	993
791	3763	988
792	3768	983
793	3773	978
794	3778	974
795	3782	969
796	3787	964
797	3791	959
798	3796	955
799	3801	950
800	3806	945
801	3812	941
802	3817	936
803	3822	931
804	3827	927
805	3832	922
806	3837	917
807	3843	913
808	3848	908
809	3852	903
810	3857	899
811	3862	894
812	3867	889
813	3872	884
814	3877	880
815	3881	875
816	3886	870
817	3891	865
818	3896	861
819	3900	856
820	3906	851
821	3910	846
822	3915	842
823	3920	837
824	3925	832
825	3930	827
826	3935	823
827	3940	818
828	3945	813
829	3950	809
830	3955	804
831	3959	799
832	3964	794
833	3969	790
834	3974	785
835	3979	780
836	3984	775
837	3989	771
838	3993	766
839	3998	761
840	4003	756
841	4008	752
842	4012	747
843	4017	742
844	4022	737
845	4027	733
846	4032	728
847	4037	723
848	4041	718
849	4046	714
850	4051	709
851	4056	704
852	4060	699
853	4065	695
854	4070	690
855	4075	685
856	4080	680
857	4085	676
858	4090	671
859	4095	666
860	4100	661
861	4105	657
862	4110	652
863	4115	647
864	4120	643
865	4125	638
866	4130	633
867	4136	628
868	4140	624
869	4145	619
870	4151	614
871	4155	610
872	4160	605
873	4165	600
874	4170	595
875	4175	591
876	4180	586
877	4185	581
878	4190	576
879	4195	572
880	4200	567
881	4205	562
882	4210	557
883	4216	553
884	4220	548
885	4225	543
886	4230	539
887	4235	534
888	4240	529
889	4245	524
890	4250	519
891	4255	515
892	4259	510
893	4265	505
894	4269	500
895	4274	496
896	4279	491
897	4284	486
898	4288	481
899	4293	477
900	4298	472
901	4303	467
902	4308	462
903	4313	458
904	4318	453
905	4322	448
906	4327	443
907	4333	439
908	4338	434
909	4342	429
910	4347	424
911	4352	419
912	4357	415
913	4362	410
914	4367	405
915	4371	400
916	4377	396
917	4381	391
918	4386	386
919	4391	381
920	4396	377
921	4401	372
922	4405	367
923	4410	362
924	4415	358
925	4420	353
926	4424	348
927	4429	343
928	4434	338
929	4439	334
930	4444	329
931	4449	324
932	4453	319
933	4458	315
